Date,Open,High,Low,Close,Adj Close,Volume
2001-03-06,15.124860,15.124860,14.415882,14.415882,5.684859,2230182
2001-03-07,14.652208,15.361186,14.652208,15.124860,5.964443,3255144
2001-03-08,15.361186,15.361186,14.652208,14.888534,5.871248,1270702
2001-03-09,15.124860,15.833838,15.124860,15.361186,6.057636,4856534
2001-03-12,15.124860,15.597512,14.888534,15.361186,6.057636,2009618
2001-03-13,15.124860,15.361186,14.888534,15.361186,6.057636,1405685
2001-03-14,15.361186,15.361186,15.361186,15.361186,6.057636,0
2001-03-15,14.415882,14.652208,14.179556,14.415882,5.684859,1536014
2001-03-16,14.415882,14.652208,14.179556,14.179556,5.591665,923089
2001-03-19,13.943230,14.179556,13.470578,13.470578,5.312082,1364958
2001-03-20,13.706904,13.943230,13.470578,13.706904,5.405276,513908
2001-03-21,13.470578,13.943230,13.234252,13.706904,5.405276,1427583
2001-03-22,13.470578,13.706904,13.470578,13.470578,5.312082,957681
2001-03-23,13.706904,13.943230,13.234252,13.234252,5.218887,2199293
2001-03-26,13.470578,13.943230,13.234252,13.706904,5.405276,1818039
2001-03-27,13.706904,13.943230,13.470578,13.706904,5.405276,745686
2001-03-28,13.706904,13.943230,13.234252,13.234252,5.218887,878024
2001-03-29,13.234252,13.470578,12.997926,13.470578,5.312082,483548
2001-03-30,13.706904,13.706904,13.234252,13.234252,5.218887,678194
2001-04-02,13.234252,13.470578,12.997926,13.234252,5.218887,470853
2001-04-03,13.470578,13.706904,13.234252,13.234252,5.218887,1018296
2001-04-04,12.997926,13.234252,12.761601,12.761601,5.032499,318733
2001-04-05,12.997926,13.234252,12.761601,12.997926,5.125693,244260
2001-04-06,12.997926,12.997926,12.997926,12.997926,5.125693,0
2001-04-09,12.997926,13.234252,12.761601,12.761601,5.032499,1185544
2001-04-10,12.997926,12.997926,12.525275,12.761601,5.032499,399236
2001-04-11,13.234252,13.234252,12.997926,12.997926,5.125693,477624
2001-04-12,12.997926,14.179556,12.997926,13.943230,5.498470,2318619
2001-04-13,13.943230,13.943230,13.943230,13.943230,5.498470,0
2001-04-16,13.943230,13.943230,13.943230,13.943230,5.498470,0
2001-04-17,14.179556,14.179556,13.470578,13.470578,5.312082,1429699
2001-04-18,13.706904,14.888534,13.706904,14.652208,5.778054,3982106
2001-04-19,15.597512,15.597512,14.179556,14.179556,5.591665,4911965
2001-04-20,14.652208,14.652208,13.706904,13.943230,5.498470,1706224
2001-04-23,13.943230,14.179556,13.470578,13.706904,5.405276,692475
2001-04-24,13.470578,14.415882,13.470578,14.179556,5.591665,2510409
2001-04-25,14.179556,15.361186,14.179556,15.124860,5.964443,13012642
2001-04-26,14.179556,15.361186,14.179556,15.124860,5.964443,13012642
